114ceaa78ae7,e1e85aa3-cb8c-4c7b-8ea2-654161afa5eb,95dae6dd-a5b3-44c7-965f-15ce269a4dfd,50,0.008743662834167481,0.007754325866699219,0.005059003829956055,0.01609039306640625
node_id,test_id,num_requests,mean_latency,median_latency,min_latency,max_latency
efd59bc965e8,e1e85aa3-cb8c-4c7b-8ea2-654161afa5eb,7985dfdf-79c7-485e-8a47-68563f690d30,51,0.00864866668102788,0.007773876190185547,0.00505828857421875,0.02062845230102539
node_id,test_id,num_requests,mean_latency,median_latency,min_latency,max_latency
efd59bc965e8,e1e85aa3-cb8c-4c7b-8ea2-654161afa5eb,b8f01b30-52bd-4efd-b381-f7355d27e9b9,49,0.008986200605119978,0.007676601409912109,0.004858732223510742,0.02424168586730957
node_id,test_id,num_requests,mean_latency,median_latency,min_latency,max_latency
efd59bc965e8,e1e85aa3-cb8c-4c7b-8ea2-654161afa5eb,3868f461-ee82-430f-baf6-ded6e18ccff1,49,0.008807673746225785,0.00809931755065918,0.004668474197387695,0.018023967742919922
node_id,test_id,num_requests,mean_latency,median_latency,min_latency,max_latency
797f0035f591,f6ba1f9b-4a74-4e59-b60b-fe757fcdafca,eb78a4be-a6b2-435c-b776-584158062bf9,40,0.011289745569229126,0.008645772933959961,0.005174398422241211,0.0617365837097168
node_id,test_id,num_requests,mean_latency,median_latency,min_latency,max_latency
797f0035f591,f6ba1f9b-4a74-4e59-b60b-fe757fcdafca,95f83ddb-1aed-4178-a673-3346e96bb1d1,39,0.011717136089618389,0.008635282516479492,0.004899740219116211,0.05742835998535156
node_id,test_id,num_requests,mean_latency,median_latency,min_latency,max_latency
88f936445e9d,f6ba1f9b-4a74-4e59-b60b-fe757fcdafca,fe5cce0b-59ce-4fe8-aca8-d2e66c9d10f2,41,0.011145865044942716,0.008842706680297852,0.005083560943603516,0.05196714401245117
node_id,test_id,num_requests,mean_latency,median_latency,min_latency,max_latency
797f0035f591,f6ba1f9b-4a74-4e59-b60b-fe757fcdafca,728e0be1-023b-4873-94d7-7de24cc1b69f,54,0.008137376220137984,0.008151769638061523,0.005038738250732422,0.01616501808166504
b85e8e3188e8,986dadb7-a4eb-409c-959a-eb91f4b18704,008ca698-bc24-4074-8604-4b01f7448b57,61,0.006920349402505843,0.005774259567260742,0.0045969486236572266,0.043187856674194336
33045c4b2dd2,986dadb7-a4eb-409c-959a-eb91f4b18704,50f1e8f5-322a-4e00-93cb-10d53474573a,60,0.007184878985087077,0.005922794342041016,0.004617929458618164,0.045944929122924805
